,,,,
Mortal Man,Kendrick Lamar,Hip-Hop/Rap,2015,12:07
Bacalao,Kase O,Hip-Hop/Rap,2016,4:18
I Wonder,Kanye West,Hip-Hop/Rap,2007,4:03
HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,2017,2:57
Bohemian Rhapsody,Queen,Rock,1975,5:55
November Rain,Guns N' Roses,Rock,1991,8:57
Stairway to Heaven,Led Zeppelin,Rock,1971,8:02
Repartiendo Arte,Kase O,Hip-Hop/Rap,2015,4:38
Todo Lo Bueno Tarda,AlcolirykoZ,Hip-Hop/Rap,2018,3:58
Tararea,AlcolirykoZ,Hip-Hop/Rap,2018,3:45
El Arriero,AlcolirykoZ,Hip-Hop/Rap,2021,3:30
La Anual,AlcolirykoZ,Hip-Hop/Rap,2020,3:52
Sancocho en Leña,AlcolirykoZ,Hip-Hop/Rap,2018,3:20
La Comedia,AlcolirykoZ,Hip-Hop/Rap,2017,3:40
Valió la Pena,Aerophon Crew,Hip-Hop/Rap,2015,3:40
Mi Rayo de Sol,Aerophon Crew,Hip-Hop/Rap,2014,3:28
Haciendo Lo Que Quiero,Aerophon Crew,Hip-Hop/Rap,2016,4:05
Incomprendido,Aerophon Crew,Hip-Hop/Rap,2013,3:55
Abrazarte,Aerophon Crew,Hip-Hop/Rap,2015,3:50
Billie Jean,Michael Jackson,Pop,1982,4:54
Beat It,Michael Jackson,Pop,1982,4:18
Chicago,Michael Jackson,Pop,2014,4:07
Into You,Ariana Grande,Pop,2016,4:04
Side to Side,Ariana Grande,Pop,2016,3:46
No Lie,Dua Lipa & Sean Paul,Pop,2016,3:41
New Rules,Dua Lipa,Pop,2017,3:29
Love Again,Dua Lipa,Pop,2020,4:18
Levitating,Dua Lipa,Pop,2020,3:23
Don't Stop the Music,Rihanna,Pop,2007,4:27
Back in Black,AC/DC,Rock,1980,4:15
Song 2,Blur,Rock,1997,2:01
What's My Age Again?,Blink-182,Rock,1999,2:28
Buddy Holly,Weezer,Rock,1994,2:39
When I Come Around,Green Day,Rock,1994,2:58
Basket Case,Green Day,Rock,1994,3:02
Come as You Are,Nirvana,Rock,1991,3:39
Creep,Radiohead,Rock,1992,3:58
Everlong,Foo Fighters,Rock,1997,4:10
Wonderwall,Oasis,Rock,1995,4:18
Give It Away,Red Hot Chili Peppers,Rock,1991,4:43
Smells Like Teen Spirit,Nirvana,Rock,1991,5:01
Black Hole Sun,Soundgarden,Rock,1994,5:18
Plush,Stone Temple Pilots,Rock,1992,5:14
Lithium,Nirvana,Rock,1991,4:17
In Bloom,Nirvana,Rock,1991,4:15
Man in the Box,Alice in Chains,Rock,1990,4:46
Fell In Love With a Girl,The White Stripes,Rock,2001,2:10
I Bet You Look Good on the Dancefloor,Arctic Monkeys,Rock,2006,2:53
American Idiot,Green Day,Rock,2004,2:54
Chop Suey!,System of a Down,Rock,2001,3:30
In the End,Linkin Park,Rock,2000,3:36
Mr. Brightside,The Killers,Rock,2004,3:42
Take Me Out,Franz Ferdinand,Rock,2004,3:57
The Pretender,Foo Fighters,Rock,2007,4:29
No One Knows,Queens of the Stone Age,Rock,2002,4:38
